arg,dependency,count
0,nsubjpass,14
0,auxpass,0
0,ROOT,0
0,prep,0
0,punct,0
0,advcl,2
0,nsubj,27
0,aux,0
0,ccomp,0
0,prt,0
0,cc,0
0,conj,0
0,dobj,0
0,acomp,0
0,xcomp,0
M-MAN,nsubjpass,14
M-MAN,auxpass,0
M-MAN,ROOT,0
M-MAN,prep,0
M-MAN,punct,0
M-MAN,advcl,2
M-MAN,nsubj,27
M-MAN,aux,0
M-MAN,ccomp,0
M-MAN,prt,0
M-MAN,cc,0
M-MAN,conj,0
M-MAN,dobj,0
M-MAN,acomp,0
M-MAN,xcomp,0
2,nsubjpass,14
2,auxpass,0
2,ROOT,0
2,prep,0
2,punct,0
2,advcl,2
2,nsubj,27
2,aux,0
2,ccomp,0
2,prt,0
2,cc,0
2,conj,0
2,dobj,0
2,acomp,0
2,xcomp,0
